episode,reward
0,-351.38468734920025
1,-363.7738433480263
2,-385.6031938791275
3,-379.78284391312627
4,-361.19143108371645
5,-407.614867541939
6,-386.9779906049371
7,-375.20717913657427
8,-368.52568709105253
9,-396.0786184668541
10,-367.19146209582686
11,-400.19153025746346
12,-402.05096512287855
13,-391.3155961930752
14,-397.40859293192625
15,-375.21221627667546
16,-352.26889950968325
17,-384.1475751698017
18,-390.91640470176935
19,-359.41533913090825
20,-384.09849965944886
21,-388.1905579486621
22,-373.304925291799
23,-393.3175002448261
24,-365.1076905578375
25,-377.91525150462985
26,-365.7278402236843
27,-388.0893237324191
28,-375.5944804621387
29,-341.3444021064788
30,-398.6203386069966
31,-380.02399902418256
32,-397.59895253553987
33,-361.1320801371468
34,-379.6638781198991
35,-375.10543868353125
36,-356.7643517423421
37,-419.3849937431514
38,-367.7236480563879
39,-382.18507580831647
40,-376.3808388225734
41,-370.40954707562923
42,-362.5192271042615
43,-373.32046342641115
44,-392.0267828553915
45,-366.16428208351135
46,-343.99544534645975
47,-363.3104818597203
48,-388.4816684536636
49,-368.01319126353985
50,-368.55753127112985
51,-373.5680374763906
52,-380.82355641014874
53,-377.7091676928103
54,-360.6604185067117
55,-363.173225864768
56,-354.62624855339527
57,-366.72173032164574
58,-393.04075880756136
59,-376.2041455898434
60,-382.5625402480364
61,-373.95939618349075
62,-377.9443215690553
63,-376.35839458554983
64,-384.00955066864844
65,-385.557257745415
66,-355.42968771234155
67,-359.01712918281555
68,-355.43901194201237
69,-377.9856546316296
70,-354.84060010686517
71,-369.79944721981883
72,-358.0208744199473
73,-354.9634442239767
74,-362.0295206460869
75,-377.5930445306003
76,-358.50786620378494
77,-344.4763739835471
78,-359.6869909223169
79,-351.11444067559125
80,-361.4423601850867
81,-384.4667804170167
82,-364.45367029868066
83,-369.86288232018705
84,-370.1129155342925
85,-346.65356091817375
86,-367.16371705010533
87,-345.2593616654623
88,-335.27166832610965
89,-361.24505031644287
90,-381.7012039402026
91,-340.7525750529021
92,-347.1583451144397
93,-366.06409353762865
94,-345.51431519910693
95,-355.48540335148573
96,-358.5253092771155
97,-369.10301715135574
98,-333.097619385807
99,-353.70447695383257
100,-332.7272017558563
101,-327.55025404819673
102,-346.0556504338739
103,-352.3220411594957
104,-340.1840481106192
105,-336.5475651252782
106,-361.23262782022357
107,-338.7455304786563
108,-328.9227766394615
109,-346.8550057839602
110,-347.60505927167833
111,-341.1492687383426
112,-353.7406954917824
113,-344.7573805358261
114,-332.0742978149784
115,-352.2162110542405
116,-341.8918053191155
117,-339.36326712497896
118,-348.44339338317513
119,-343.5654630847275
120,-348.0547109100735
121,-356.16977926692846
122,-340.0744499601424
123,-348.83755669370294
124,-348.73326801508665
125,-334.33931704610586
126,-349.03196357376873
127,-368.14628969912883
128,-329.7032428011298
129,-330.3134643168879
130,-345.5176161847776
131,-344.82504220248586
132,-321.3182055124772
133,-341.20142549066725
134,-341.3573702648282
135,-334.49073065421464
136,-370.70703268423676
137,-315.4298990406096
138,-335.10248298360887
139,-326.8370045553893
140,-343.1632662937045
141,-327.896187525591
142,-330.8754872813588
143,-351.4502982625264
144,-322.9479255005717
145,-325.4900564815616
146,-305.10833910643044
147,-334.9070429377025
148,-338.18325777887287
149,-303.55342335416856
150,-314.0749917642671
151,-319.33862000925
152,-353.31261931860274
153,-331.28644575178623
154,-348.06461307033896
155,-351.9968532321501
156,-342.9985811971128
157,-348.19284839369357
158,-341.9080792814493
159,-338.2517329234397
160,-345.7585191205144
161,-328.53046934714075
162,-332.6163397934288
163,-340.74429487937516
164,-297.7590621539849
165,-314.8339354712516
166,-319.0187501910841
167,-315.72913305216855
168,-321.25071607530117
169,-332.0470447950065
170,-332.84640049317306
171,-297.9688899179447
172,-302.95886240317407
173,-285.8387889955193
174,-306.57050929032266
175,-304.57394208176913
176,-294.7089681880308
177,-319.34286869107666
178,-305.5893758647144
179,-304.9701544640112
180,-319.0889180859077
181,-293.88973273930606
182,-304.0605517756194
183,-316.78617487603253
184,-318.26318478526
185,-325.42731229402125
186,-311.0752573683858
187,-295.45736054493966
188,-290.9696319845963
189,-303.1098177477244
190,-320.06387631595135
191,-320.2116595560211
192,-307.28314186795535
193,-295.81107214221186
194,-297.16650180867794
195,-286.9657972883433
196,-290.4730902960283
197,-297.6906748743487
198,-287.3478069435805
199,-308.8648930133778
200,-297.1806654946405
201,-311.1524768266827
202,-300.6926031615585
203,-311.34154679998755
204,-320.01974447606983
205,-333.08104850538075
206,-288.6059991957146
207,-315.8699508626014
