episode,reward
0,-314.934488
1,-257.249687
2,-259.449723
3,-258.940138
4,-258.005754
5,-257.878444
6,-257.661644
7,-258.030548
8,-257.500823
9,-257.853158
10,-257.771597
11,-258.937891
12,-258.723517
13,-258.498728
14,-258.232104
15,-259.380581
16,-258.500075
17,-258.399072
18,-258.956937
19,-259.079215
20,-260.567657
21,-259.942887
22,-260.637793
23,-261.812115
24,-261.571254
25,-259.239588
26,-260.745717
27,-260.829867
28,-261.487837
29,-260.223797
30,-258.5918
31,-262.976596
32,-259.819936
33,-258.225299
34,-260.937215
35,-259.632521
36,-262.489623
37,-264.253924
38,-261.695883
39,-259.655668
40,-259.330572
41,-262.074365
42,-263.079149
43,-260.28547
44,-263.89558
45,-260.484979
46,-260.942243
47,-259.263035
48,-260.270997
49,-258.511023
50,-260.78249
51,-258.246037
52,-261.319716
53,-260.850998
54,-261.94686
55,-259.503385
56,-259.595371
57,-263.258614
58,-262.978467
59,-260.37745
60,-260.899897
61,-264.004917
62,-262.88308
63,-261.150134
64,-260.888068
65,-263.922832
66,-259.654595
67,-258.51678
68,-262.992126
69,-260.381991
70,-262.011522
71,-262.901801
72,-262.696894
73,-257.327539
74,-262.00424
75,-260.275051
76,-260.575689
77,-261.565652
78,-264.183731
79,-261.117229
80,-259.761014
81,-259.459585
82,-262.242969
83,-260.068747
84,-266.781225
85,-251.239247
86,-258.962745
87,-262.997887
88,-258.511979
89,-257.966655
90,-262.753696
91,-261.707407
92,-259.837043
93,-262.531553
94,-258.718074
95,-260.655501
96,-254.995586
97,-261.135248
98,-265.20086
99,-257.312917
100,-260.591234
101,-260.636805
102,-259.682392
103,-253.385859
104,-257.540275
105,-256.262601
106,-257.400096
107,-262.363976
108,-261.365001
109,-254.904166
110,-256.359433
111,-256.101135
112,-253.547044
113,-260.112552
114,-261.101015
115,-260.287995
116,-257.95982
117,-256.753287
118,-259.265879
119,-258.399694
120,-259.464883
121,-255.118949
122,-255.286432
123,-259.175374
124,-258.416613
125,-254.729763
126,-261.088293
127,-257.796021
128,-254.804184
129,-255.890818
130,-261.165437
131,-254.516753
132,-256.079963
133,-257.40334
134,-260.442103
135,-253.669228
136,-253.330801
137,-259.380793
138,-260.623755
139,-256.394683
140,-248.37804
141,-251.344919
142,-259.568671
143,-251.98912
144,-257.248547
145,-257.246534
146,-259.167174
147,-258.322294
148,-257.033932
149,-259.707017
150,-257.481023
151,-251.668234
152,-257.359145
153,-252.296601
154,-255.611623
155,-256.482527
156,-258.391431
157,-256.673472
158,-253.427195
159,-255.053553
160,-257.529099
161,-258.238934
162,-252.36082
163,-258.185204
164,-259.234979
165,-253.152387
166,-255.570678
167,-260.561381
168,-252.426294
169,-258.525231
170,-253.426518
171,-256.305552
172,-257.858683
173,-258.119335
174,-259.552022
175,-259.000878
176,-260.920862
177,-255.112331
178,-258.68611
179,-254.064218
180,-257.824588
181,-252.536758
182,-257.13161
183,-256.299102
184,-258.587502
185,-253.754014
186,-255.552708
187,-258.768744
188,-256.233007
189,-256.84137
190,-256.365525
191,-260.311162
192,-260.036491
193,-259.232008
194,-257.504966
195,-254.078637
196,-260.67092
197,-261.238962
198,-258.419683
199,-259.423685
200,-260.227028
201,-258.564955
202,-257.921846
203,-256.946772
204,-264.428057
205,-259.359123
206,-264.943708
207,-258.23085
208,-262.858296
209,-258.669115
210,-260.861264
211,-265.984934
212,-254.454883
213,-261.138755
214,-262.350042
215,-257.887674
216,-268.154293
217,-257.324854
218,-262.818326
219,-255.948471
220,-261.653288
221,-258.136042
222,-256.693591
223,-262.597342
224,-263.089063
225,-257.556794
226,-262.296474
227,-259.637724
228,-257.77085
229,-254.10972
230,-261.693583
231,-259.799552
232,-259.032346
233,-261.163102
234,-260.250126
235,-255.122396
236,-265.041395
237,-261.219049
238,-258.136448
239,-263.953924
240,-267.58371
241,-261.93929
242,-258.273497
243,-262.552426
244,-256.089126
245,-260.222546
246,-264.366726
247,-258.342347
248,-257.459288
249,-254.683272
250,-259.174738
251,-257.76218
252,-260.265133
253,-264.360894
254,-259.86129
255,-256.12682
256,-259.561468
257,-262.374525
258,-258.267351
259,-259.906075
260,-255.166013
261,-264.256028
262,-263.472505
263,-262.177186
264,-256.687506
265,-259.240296
266,-265.426134
267,-260.573795
268,-257.535036
269,-257.493595
270,-255.046684
271,-260.529381
272,-263.684159
273,-259.570162
274,-257.449974
275,-257.671651
276,-259.313869
277,-261.266588
278,-258.368947
279,-258.014574
280,-260.704568
281,-259.15027
282,-262.413815
283,-260.621808
284,-260.838597
285,-258.183064
286,-258.03124
287,-256.621261
288,-258.5957
289,-262.612958
290,-257.210498
291,-256.555715
292,-257.039927
293,-260.834912
294,-257.751915
295,-249.207537
296,-256.093976
297,-264.496832
298,-261.673166
299,-254.210629
300,-262.074658
301,-261.467611
302,-256.372416
303,-259.365328
304,-258.055364
305,-261.342681
306,-260.839102
307,-258.473156
308,-260.630456
309,-257.152073
310,-262.619763
311,-263.109342
312,-262.510608
313,-261.036762
314,-259.845246
315,-261.242419
316,-262.641516
317,-258.487765
318,-262.170504
319,-265.040522
320,-258.316877
321,-260.808106
322,-263.02482
323,-252.879932
324,-257.937383
325,-257.939463
326,-260.662944
327,-262.90852
328,-258.524117
329,-261.021579
330,-261.007947
331,-257.441704
332,-256.768638
333,-261.447451
334,-260.322546
335,-261.65887
336,-255.021036
337,-259.77052
338,-261.695565
339,-259.368299
340,-262.82631
341,-261.561209
342,-260.867632
343,-263.031715
344,-262.001877
345,-261.501826
346,-261.220018
347,-261.538208
348,-261.44821
349,-258.069096
350,-262.206063
351,-259.192615
352,-262.731237
353,-256.546778
354,-258.7509
355,-263.508648
356,-261.19443
357,-261.218389
358,-256.740173
359,-257.32259
360,-266.323587
361,-257.705834
362,-257.80564
363,-256.024063
364,-255.212801
365,-257.46874
366,-259.889381
367,-256.431503
368,-259.992198
369,-258.541081
370,-260.170574
371,-257.706469
372,-255.597178
373,-260.916289
374,-255.691427
375,-261.772664
376,-259.862889
377,-259.529598
378,-260.571471
379,-258.40078
380,-260.186309
381,-261.970752
382,-256.367799
383,-258.9869
384,-256.989318
385,-254.022261
386,-259.134824
387,-259.975834
388,-261.667828
389,-259.643932
390,-263.148483
391,-259.418908
392,-259.716073
393,-260.884719
394,-257.095411
395,-257.975155
396,-253.5843
397,-260.118953
398,-261.420841
399,-261.826069
400,-262.267635
401,-259.476554
402,-258.567943
403,-261.681009
404,-261.036882
405,-257.860302
406,-261.857025
407,-261.933054
408,-260.92547
409,-260.67997
410,-259.759661
411,-264.402179
412,-262.603809
413,-261.511103
414,-260.114011
415,-257.954788
416,-258.58456
417,-265.841579
418,-263.223902
419,-261.042781
420,-261.890984
421,-258.023028
422,-261.563372
423,-262.941585
424,-259.936463
425,-262.883722
426,-260.981498
427,-262.759232
428,-261.26263
429,-261.029349
430,-263.794751
431,-260.375643
432,-260.845628
433,-259.774798
434,-260.20324
435,-258.076928
436,-260.954002
437,-260.338223
438,-260.172849
439,-257.025093
440,-257.623784
441,-260.113786
442,-262.485194
443,-264.633454
444,-260.764763
445,-258.637569
446,-267.26926
447,-265.444189
448,-262.700589
449,-263.25031
450,-261.071388
451,-261.418556
452,-258.648568
453,-262.99518
454,-262.180681
455,-262.70836
456,-260.205002
457,-257.227577
458,-258.666212
459,-260.704918
460,-261.120931
461,-263.071043
462,-259.581334
463,-260.269084
464,-270.65451
465,-261.973204
466,-259.7583
467,-261.03645
468,-256.111458
469,-259.304221
470,-263.152331
471,-262.568803
472,-263.196852
473,-263.669502
474,-261.684176
475,-260.423054
476,-260.818015
477,-262.004442
478,-264.138828
479,-261.315542
480,-260.155088
481,-258.527309
482,-258.981696
483,-258.895883
484,-258.852136
485,-261.639279
486,-266.040566
487,-256.746013
488,-261.815265
489,-262.70006
490,-261.077355
491,-261.54173
492,-259.842995
493,-261.196942
494,-261.782343
495,-262.421239
496,-259.642511
497,-261.745551
498,-260.459089
499,-252.223529
500,-261.331444
501,-258.972752
502,-260.858644
503,-262.774372
504,-261.663707
505,-259.134384
506,-264.686691
507,-259.506651
508,-259.565941
509,-261.955227
510,-264.045022
511,-259.787264
512,-258.789759
513,-258.380424
514,-262.287682
515,-261.979272
516,-257.769206
517,-261.692317
518,-262.68474
519,-257.574609
520,-260.599636
521,-260.417731
522,-257.560166
523,-255.058242
524,-262.684611
525,-262.461172
526,-258.549964
527,-261.119689
528,-260.415653
529,-258.581494
530,-260.314148
531,-259.414488
532,-261.527981
533,-263.319737
534,-259.589166
535,-259.657854
536,-260.233833
537,-257.396661
538,-261.509503
539,-260.737166
540,-256.471351
541,-257.547228
542,-261.392446
543,-262.923182
544,-257.97893
545,-258.245677
546,-260.816431
547,-259.699803
548,-261.883062
549,-259.363063
550,-257.675783
551,-255.467311
552,-261.035396
553,-257.395133
554,-258.916398
555,-257.993771
556,-260.297999
557,-265.155177
558,-258.283643
559,-258.289323
560,-254.450004
561,-259.817005
562,-261.759204
563,-257.326464
564,-258.655116
565,-260.955853
566,-261.040321
567,-258.874523
568,-258.353259
569,-258.213159
570,-261.516705
571,-261.448697
572,-259.127532
573,-257.143142
574,-259.643476
575,-261.002427
576,-259.075218
577,-258.501629
578,-261.811284
579,-256.988104
580,-260.505205
581,-258.839136
582,-262.927194
583,-254.418788
584,-259.218926
585,-260.326449
586,-259.567484
587,-262.854398
588,-260.590976
589,-261.236689
590,-260.179702
591,-265.857123
592,-253.218489
593,-254.660172
594,-255.916599
595,-261.266313
596,-257.433742
597,-254.141303
598,-260.293579
599,-257.985593
600,-259.876981
601,-266.774714
602,-256.80146
603,-262.600963
604,-258.321076
605,-261.080506
606,-259.628001
607,-265.351748
608,-262.93075
609,-259.857265
610,-257.846416
611,-254.790287
612,-258.926739
613,-256.115501
614,-260.03325
615,-259.938413
616,-256.207904
617,-257.565966
618,-258.664915
619,-261.949766
620,-256.368556
621,-259.807523
622,-259.367615
623,-255.828027
624,-260.08052
625,-260.555025
626,-258.795996
627,-260.159842
628,-256.101711
629,-257.950543
630,-254.787069
631,-253.321334
632,-257.121051
633,-258.982806
634,-257.400834
635,-262.274397
636,-255.937701
637,-258.221839
638,-261.437103
639,-256.060116
640,-259.610342
641,-259.226274
642,-257.938351
643,-255.82227
644,-259.300962
645,-258.581482
646,-262.199016
647,-261.441217
648,-254.186063
649,-264.438671
650,-262.509141
651,-263.385388
652,-261.155719
653,-259.608134
654,-256.779472
655,-256.902578
656,-261.131573
657,-258.455848
658,-260.786026
659,-260.179864
660,-261.910683
661,-263.785266
662,-257.477324
663,-257.939692
664,-256.430391
665,-260.105983
666,-264.242336
667,-262.060461
668,-258.761929
669,-261.277627
670,-259.343932
671,-257.815406
672,-251.125159
673,-261.636134
674,-259.062767
675,-261.732217
676,-260.272134
677,-258.957553
678,-260.402618
679,-257.710933
680,-257.877195
681,-260.248859
682,-250.157732
683,-260.886651
684,-260.099481
685,-254.403744
686,-259.631453
687,-259.187438
688,-252.053027
689,-264.476022
690,-256.078434
691,-264.843132
692,-255.775546
693,-257.713877
694,-259.482788
695,-258.103441
696,-256.586995
697,-256.555086
698,-260.337998
699,-255.858336
